ASIN,ID,TOPIC,RATEABLE,SENTIMENT SCORE,SNIPPET,SUBTOPICS,QUESTION,ANSWER,QA SCORE,NOUNS,ADJECTIVES,VERBS
B087DH51VB,RDTERSPC9BBWB,big,FALSE,0.002793047,please help for the same since i have paid very big amuny for it,"{""big"": 0.0027930468000799125}",,,,[],[],[]
B087DH51VB,R36MXHTL1T0KGH,working,FALSE,-0.863343807,sensors stoped working withinn 8 months,"{""working"": -0.8633438074092841}",what's bad about working?,sensors,0.224294782,['sensors'],[],[]
B087DH51VB,RDTERSPC9BBWB,same,FALSE,0.011544492,please help for the same since i have paid very big amuny for it,"{""same"": 0.011544492095841796}",,,,[],[],[]
B087DH51VB,RZOT7CYEWJ1RH,fit,TRUE,-0.990866,"not my type, did not fit my ears therefore returned it... however did not fit my ears","{""fit"": -0.9908660001020115}",what's bad about fit?,did not fit my ears,0.07573054,['ears'],[],['fit']
B087DH51VB,R36MXHTL1T0KGH,mi,TRUE,-0.9825818,worst ever product from mi,"{""mi"": -0.9825818004178568}",what's bad about mi?,worst ever product,0.684608459,['product'],['worst'],[]
B087DH51VB,RJ2FSALDSGVTK,ear,TRUE,0.860775035,ear set do not charge,"{""ear"": 0.8607750350313677}",what's good about ear?,do not charge,0.55060482,[],[],['charge']
B087DH51VB,R36MXHTL1T0KGH,noise cancellation,TRUE,-0.989695325,noise cancellation quality declined in 8 months,"{""noise cancellation"": -0.9896953251805995}",what's bad about noise cancellation?,quality declined,0.270861924,['quality'],[],['declined']
B087DH51VB,R3JDZG625SXKYQ,review,TRUE,-0.033413561,i was almost taken aback by the thick stem and bad reviews ... bad reviewers should try oneplus buds or oppo w51,"{""review"": -0.03341356108671012}",,,,[],[],[]
B087DH51VB,R2UM14B17ORKUT,working,FALSE,0,"left bud not working anymore... after rare usage of 2 months, my left bud is not working anymore","{""working"": 0.0}",,,,[],[],[]
B087DH51VB,RCIFYDHD55UH0,ear,TRUE,-0.993794553,i am getting pain in my ears after/while using it,"{""ear"": -0.9937945527018637}",what's bad about ear?,pain in my ears,0.280755371,"['pain', 'ears']",[],[]
B087DH51VB,RZOT7CYEWJ1RH,purchase,FALSE,0.988877252,must buy for mi fans,"{""buy"": 0.9888772517264204}",what's good about buy?,must buy for mi fans,0.326029032,"['mi', 'fans']",[],"['must', 'buy']"
B087DH51VB,R36MXHTL1T0KGH,quality,TRUE,-0.994980569,noise cancellation quality declined in 8 months,"{""quality"": -0.9949805690487594}",what's bad about quality?,noise cancellation,0.306486547,"['noise', 'cancellation']",[],[]
B087DH51VB,RJ2FSALDSGVTK,set,FALSE,0.915427818,ear set do not charge,"{""set"": 0.9154278178164861}",what's good about set?,do not charge,0.27622664,[],[],['charge']
B087DH51VB,RCIFYDHD55UH0,expectation,FALSE,0.83630254,high expectations but not fulfilled,"{""expectation"": 0.8363025403657087}",what's good about expectation?,high expectations but not fulfilled,0.384676218,['expectations'],['high'],['fulfilled']
B087DH51VB,R36MXHTL1T0KGH,sensor,FALSE,0,sensors stoped working withinn 8 months,"{""sensor"": 0.0}",,,,[],[],[]
B087DH51VB,R36MXHTL1T0KGH,purchase,FALSE,0,do not buy,"{""buy"": 0.0}",,,,[],[],[]
B087DH51VB,R3JDZG625SXKYQ,sound,TRUE,0.987516104,best sound quality in tws under 10k... can not say how much i love the sound,"{""sound"": 0.9875161041311463}",what's good about sound?,best sound quality in tws under 10k,0.421308488,"['quality', 'tws', '10k']","['best', 'sound']",[]
B087DH51VB,RZX9BORDNA51H,purchase,FALSE,0,don t buy this worst product,"{""buy"": 0.0}",,,,[],[],[]
B087DH51VB,R1UD1ZA2FF04RB,connectivity,FALSE,-0.997199245,it gets disconnected frequently and call quality is also poor,"{""disconnection"": -0.9971992451849478}",what's bad about disconnection?,call quality,0.248585507,"['call', 'quality']",[],[]
B087DH51VB,R3TRG4J8IKWW25,same,FALSE,0.007888752,"would not recommend to buy too many features, but none of them working properly, one should not even think of buying this product, complete waste of money, returned the same in couple of days","{""same"": 0.00788875205631362}",,,,[],[],[]
B087DH51VB,RDTERSPC9BBWB,case,TRUE,0.044155734,mi wireless is working fine since i purchged till last week but from lat week there is one issue that right side wireless is not charging only left side wireless is connected to case charging,"{""case"": 0.04415573362246361}",,,,[],[],[]
B087DH51VB,R3T7YPCBU08Y0L,tech,FALSE,-0.996867014,it is the worse tech ever got from mi,"{""tech"": -0.9968670140601963}",what's bad about tech?,mi,0.136349663,['mi'],[],[]
B087DH51VB,R3TRG4J8IKWW25,purchase,FALSE,-0.871675384,"would not recommend to buy too many features, but none of them working properly, one should not even think of buying this product, complete waste of money, returned the same in couple of days","{""buy"": -0.8716753836974658}",what's bad about buy?,complete waste of money,0.352234095,"['waste', 'money']",['complete'],[]
B087DH51VB,R2UM14B17ORKUT,ear bud,TRUE,-0.463487426,"left bud not working anymore... after rare usage of 2 months, my left bud is not working anymore","{""bud"": -0.46348742589516523}",what's bad about bud?,my left bud is not working anymore,0.27638942,['bud'],['left'],['working']
B087DH51VB,R1UD1ZA2FF04RB,call,TRUE,-0.991670702,it gets disconnected frequently and call quality is also poor,"{""call"": -0.9916707015299531}",what's bad about call?,call quality,0.602138102,"['call', 'quality']",[],[]
B087DH51VB,RDTERSPC9BBWB,connectivity,TRUE,0.856764927,mi wireless is working fine since i purchged till last week but from lat week there is one issue that right side wireless is not charging only left side wireless is connected to case charging,"{""connect"": 0.8567649267367943}",what's good about connect?,only left side wireless is connected to case charging,0.193748847,"['wireless', 'case']","['left', 'side']","['connected', 'charging']"
B087DH51VB,R3T7YPCBU08Y0L,purchase,FALSE,-0.951185129,do not even think about buying,"{""buy"": -0.951185129217069}",what's bad about buy?,do not even think about buying,0.003371116,[],[],"['think', 'buying']"
B087DH51VB,R2BMNNT3EILKI3,connectivity,TRUE,-0.918062362,"the best thing: you can connect 2 phones, each for the ear","{""connect"": -0.9180623622855311}",what's bad about connect?,you can connect 2 phones,0.00044613,['phones'],[],"['can', 'connect']"
B087DH51VB,R37BR7D1E73UL2,quality,TRUE,-0.999043937,very bad quality,"{""quality"": -0.9990439372485633}",what's bad about quality?,very bad quality,0.348576933,['quality'],['bad'],[]
B087DH51VB,R3JDZG625SXKYQ,oppo,FALSE,0.41999202,"after trying boat, oppo and oneplus, i thought i should give the buds try... bad reviewers should try oneplus buds or oppo w51","{""oppo"": 0.41999202044090544}",what's good about oppo?,bad reviewers should try oneplus buds or oppo w51,0.010199146,"['reviewers', 'buds', 'w51']","['bad', 'oneplus']","['should', 'try', 'oppo']"
B087DH51VB,R2UM14B17ORKUT,baked,FALSE,-0.951565684,useless half baked product,"{""baked"": -0.9515656838139877}",what's bad about baked?,useless half baked product,0.134521782,"['half', 'product']","['useless', 'baked']",[]
B087DH51VB,R1UD1ZA2FF04RB,ear phone,TRUE,-0.442254164,worst ear phones ... please do not buy this ear phones,"{""ear phone"": -0.44225416429429854}",what's bad about ear phone?,worst ear phones,0.545455039,"['ear', 'phones']",['worst'],[]
B087DH51VB,R2ZY08W8T9Q9GU,working,FALSE,0.010098934,not working ... it is not working,"{""working"": 0.01009893441093812}",,,,[],[],[]
B087DH51VB,R2UM14B17ORKUT,reset,FALSE,0.003078284,had to reset the device to make it work again twice in a week,"{""reset"": 0.003078283956714334}",,,,[],[],[]
B087DH51VB,R36EYE5NSA6V9M,price,TRUE,0.008426517,worth for money,"{""money"": 0.008426517478030027}",,,,[],[],[]
B087DH51VB,R36EYE5NSA6V9M,battery,TRUE,0.959562508,got this for 2k and really worth one sound quality is good boss also fine battery back up fine f,"{""battery"": 0.9595625077571015}",what's good about battery?,battery back up fine,0.324840158,['battery'],[],[]
B087DH51VB,R3JDZG625SXKYQ,other brands,TRUE,0.809155412,"after trying boat , oppo and oneplus, i thought i should give the buds try","{""boat"": 0.8091554118198028}",what's good about boat?,trying,0.002035605,[],[],['trying']
B087DH51VB,R3JDZG625SXKYQ,ear bud,TRUE,0.934569928,"after trying boat, oppo and oneplus, i thought i should give the buds try... bad reviewers should try oneplus buds or oppo w51","{""bud"": 0.9345699280870092}",what's good about bud?,bad reviewers should try oneplus buds,0.002245142,"['reviewers', 'buds']","['bad', 'oneplus']","['should', 'try']"
B087DH51VB,RZOT7CYEWJ1RH,fan,FALSE,0.985070828,must buy for mi fans,"{""fan"": 0.9850708282068159}",what's good about fan?,must buy,0.108160615,[],[],"['must', 'buy']"
B087DH51VB,RDTERSPC9BBWB,charge,TRUE,0.883688918,mi wireless is working fine since i purchged till last week but from lat week there is one issue that right side wireless is not charging only left side wireless is connected to case charging,"{""charging"": 0.883688918109196}",what's good about charging?,left side wireless is connected to case charging,0.007104622,"['wireless', 'case']","['left', 'side']","['connected', 'charging']"
B087DH51VB,R2UM14B17ORKUT,device,TRUE,0.017488587,had to reset the device to make it work again twice in a week,"{""device"": 0.017488586739231954}",,,,[],[],[]
B087DH51VB,R3TRG4J8IKWW25,price,TRUE,-0.933457878,"would not recommend to buy too many features, but none of them working properly, one should not even think of buying this product, complete waste of money , returned the same in couple of days","{""money"": -0.9334578784367527}",what's bad about money?,complete waste of money,0.484188795,"['waste', 'money']",['complete'],[]
B087DH51VB,R1UD1ZA2FF04RB,purchase,FALSE,0,please do not buy this ear phones,"{""buy"": 0.0}",,,,[],[],[]
B087DH51VB,R3T7YPCBU08Y0L,caller,FALSE,0.90985303,i get echo from the caller,"{""caller"": 0.9098530300911867}",what's good about caller?,echo,0.338246405,['echo'],[],[]
B087DH51VB,R3TRG4J8IKWW25,feature,TRUE,-0.988726955,"would not recommend to buy too many features , but none of them working properly, one should not even think of buying this product, complete waste of money, returned the same in couple of days","{""feature"": -0.9887269553091032}",what's bad about feature?,none of them working properly,0.626103699,['none'],[],['working']
B087DH51VB,RDTERSPC9BBWB,side wireless,FALSE,-0.824235283,mi wireless is working fine since i purchged till last week but from lat week there is one issue that right side wireless is not charging only left side wireless is connected to case charging,"{""side wireless"": -0.8242352824635415}",what's bad about side wireless?,right side wireless is not charging,0.374515563,"['side', 'wireless']",['right'],['charging']
B087DH51VB,R11GV3AED3H8UV,purchase,FALSE,0.991498339,not buy,"{""buy"": 0.9914983385512628}",what's good about buy?,not,0.060059056,[],[],[]
B087DH51VB,R2UM14B17ORKUT,connectivity,FALSE,0.961731296,inconsistent bluetooth connection,"{""bluetooth connection"": 0.9617312960115314}",what's good about bluetooth connection?,inconsistent,0.060180441,[],['inconsistent'],[]
B087DH51VB,R1UD1ZA2FF04RB,quality,TRUE,-0.998810875,it gets disconnected frequently and call quality is also poor,"{""quality"": -0.9988108746055742}",what's bad about quality?,call quality is also poor,0.144693106,['quality'],"['call', 'poor']",[]
B087DH51VB,R3JDZG625SXKYQ,tws,TRUE,0.837337154,best sound quality in tws under 10k,"{""tws"": 0.837337153723203}",what's good about tws?,best sound quality,0.828347564,['quality'],"['best', 'sound']",[]
B087DH51VB,RJ2FSALDSGVTK,charge,TRUE,-0.471653137,ear set do not charge ... after 2 months of use right side does not charge,"{""charging"": -0.4716531366224067}",what's bad about charging?,right side,0.041493382,['side'],['right'],[]
B087DH51VB,R2UM14B17ORKUT,usage,FALSE,-0.926488449,"after rare usage of 2 months, my left bud is not working anymore","{""usage"": -0.9264884487252067}",what's bad about usage?,my left bud is not working anymore,0.287614018,['bud'],['left'],['working']
B087DH51VB,R1UD1ZA2FF04RB,please,FALSE,-0.991024699,please do not buy this ear phones... please stay away from this,"{""please"": -0.9910246987258619}",what's bad about please?,please do not buy this ear phones,0.060031131,"['ear', 'phones']",[],['buy']
B087DH51VB,R3T7YPCBU08Y0L,connectivity,FALSE,-0.986805032,i get disconnected issue,"{""disconnection"": -0.9868050323523274}",what's bad about disconnection?,i get disconnected issue,0.21932371,['issue'],['disconnected'],['get']
B087DH51VB,R2UM14B17ORKUT,2 month,FALSE,-0.940457838,"after rare usage of 2 months , my left bud is not working anymore","{""2 month"": -0.9404578379749049}",what's bad about 2 month?,my left bud is not working anymore,0.491127044,['bud'],['left'],['working']
B087DH51VB,R2BMNNT3EILKI3,ear,TRUE,0.924738725,"the best thing: you can connect 2 phones, each for the ear","{""ear"": 0.9247387247957721}",what's good about ear?,you can connect 2 phones,0.175955355,['phones'],[],"['can', 'connect']"
B087DH51VB,RZOT7CYEWJ1RH,ear,TRUE,-0.96976896,"not my type, did not fit my ears therefore returned it... however did not fit my ears","{""ear"": -0.9697689597322638}",what's bad about ear?,did not fit my ears,0.209680572,['ears'],[],['fit']
B087DH51VB,RDTERSPC9BBWB,mi,TRUE,0.854599118,mi wireless is working fine since i purchged till last week but from lat week there is one issue that right side wireless is not charging only left side wireless is connected to case charging,"{""mi"": 0.8545991183953763}",what's good about mi?,mi wireless is working fine since i purchged till last week,0.267042726,"['mi', 'wireless', 'week']",['last'],"['working', 'purchged']"
B087DH51VB,R36EYE5NSA6V9M,sound quality,TRUE,0.988791061,got this for 2k and really worth one sound quality is good boss also fine battery back up fine f,"{""sound quality"": 0.9887910605191799}",what's good about sound quality?,sound quality is good boss,0.141448721,"['quality', 'boss']","['sound', 'good']",[]
